step,timestamp,distance_m,forward_m,right_m,speed_mps,bearing_deg,tool,throttle,steer,brake_strength,duration_s,overridden_by_safety
0,1774378729.16,224.01,206.37,-87.13,0.01,-22.89,drive,0.2,-0.2,0,1.0,False
1,1774378731.73,223.36,207.28,-83.24,0.68,-21.88,drive,0.2,-0.2,0,1.0,False
2,1774378734.3,221.17,209.38,-71.26,1.3,-18.8,drive,0.2,-0.2,0,1.0,False
3,1774378736.9,217.44,211.17,-51.85,1.91,-13.8,drive,0.2,-0.2,0,1.0,False
4,1774378739.52,211.99,210.5,-25.16,2.49,-6.82,drive,0.2,-0.2,0,1.0,False
5,1774378741.85,205.02,204.87,7.94,3.05,2.22,brake,0,0,10,0.1,False
6,1774378744.27,199.16,199.0,7.86,1.9,2.26,drive,0.2,0.2,0,1.0,False
7,1774378746.89,194.11,193.39,-16.77,2.48,-4.96,drive,0.2,-0.2,0,1.0,False
8,1774378749.34,186.98,186.48,13.61,3.04,4.17,brake,0,0,10,0.1,False
9,1774378752.2,180.68,180.17,13.62,1.89,4.32,drive,0.2,0.2,0,1.0,False
10,1774378754.83,174.82,174.61,-8.58,2.47,-2.81,drive,0.2,-0.2,0,1.0,False
11,1774378757.1,167.7,166.66,18.65,3.03,6.39,brake,0,0,10,0.1,False
12,1774378759.63,162.0,160.92,18.67,1.87,6.62,drive,0.2,0.2,0,1.0,False
13,1774378762.05,156.74,156.74,-1.06,2.46,-0.39,drive,0.2,-0.1,0,1.0,False
14,1774378764.69,150.3,149.91,10.83,3.02,4.13,brake,0,0,10,0.1,False
15,1774378767.19,143.43,143.02,10.81,1.87,4.32,drive,0.2,0.2,0,1.0,False
16,1774378770.06,138.21,138.03,-6.89,2.45,-2.86,drive,0.2,-0.2,0,1.0,False
17,1774378773.38,130.65,130.17,11.15,3.22,4.9,brake,0,0,10,0.1,False
18,1774378775.8,118.02,117.92,4.94,3.97,2.4,brake,0,0,10,0.1,False
19,1774378778.13,107.73,107.7,2.61,4.23,1.39,brake,0,0,10,0.1,False
20,1774378780.53,97.35,97.34,0.52,4.37,0.3,brake,0,0,10,0.1,False
21,1774378783.82,86.37,86.36,-1.35,4.47,-0.89,brake,0,0,15.0,1.0,True
22,1774378786.96,70.55,70.46,-3.47,4.17,-2.82,brake,0,0,15,1.0,False
23,1774378789.34,58.92,58.82,-3.4,2.52,-3.31,brake,0,0,20,1.0,False
24,1774378792.16,54.83,54.73,-3.34,0.3,-3.49,drive,0.1,-0.2,0,1.0,False
25,1774378794.71,53.73,53.69,-1.93,0.6,-2.06,drive,0.1,-0.2,0,1.0,False
26,1774378797.38,51.92,51.92,0.34,0.88,0.38,drive,0.1,0.2,0,1.0,False
27,1774378800.0,49.36,49.29,-2.65,1.16,-3.07,drive,0.1,-0.2,0,1.0,False
28,1774378802.8,46.1,46.09,0.91,1.43,1.14,drive,0.1,0.2,0,1.0,False
29,1774378805.52,41.84,41.73,-3.01,1.7,-4.12,drive,0.1,-0.2,0,1.0,False
30,1774378808.69,37.05,37.03,1.12,1.95,1.73,drive,0.1,0.2,0,1.0,False
31,1774378811.29,30.64,30.5,-2.85,2.21,-5.33,drive,0.1,-0.2,0,1.0,False
32,1774378814.01,24.76,24.75,0.75,2.46,1.75,drive,0.1,0.2,0,1.0,False
33,1774378816.5,17.83,17.69,-2.24,2.71,-7.21,drive,0.1,-0.3,0,1.0,False
34,1774378819.08,10.96,10.91,1.01,2.94,5.31,drive,0.1,0.3,0,1.0,False
35,1774378821.48,3.19,3.16,-0.46,3.15,-8.32,brake,0,0,30,1.0,False
