step,timestamp,distance_m,forward_m,right_m,speed_mps,bearing_deg,tool,throttle,steer,brake_strength,duration_s,overridden_by_safety
0,1774380228.33,265.73,265.56,9.59,0.0,2.07,drive,0.2,0.2,0,1.0,False
1,1774380231.26,264.83,264.79,4.63,0.68,1.0,drive,0.2,0.1,0,1.0,False
2,1774380234.06,262.04,262.03,-2.88,1.32,-0.63,drive,0.2,-0.1,0,1.0,False
3,1774380236.92,257.59,257.42,9.49,1.94,2.11,drive,0.2,0.2,0,1.0,False
4,1774380239.87,251.33,250.25,-23.25,2.53,-5.31,drive,0.2,-0.5,0,1.0,False
5,1774380242.65,243.26,231.13,75.85,3.02,18.17,brake,0,0,15.0,1.0,True
6,1774380245.72,237.34,225.0,75.55,1.35,18.56,drive,0.2,0.2,0,1.0,False
7,1774380248.84,232.67,226.42,53.56,1.96,13.31,drive,0.2,0.2,0,1.0,False
8,1774380251.84,225.88,224.62,23.78,2.55,6.04,drive,0.2,0.2,0,1.0,False
9,1774380254.8,217.53,217.18,-12.3,3.12,-3.24,brake,0,0,15.0,1.0,True
10,1774380258.68,210.49,210.13,-12.34,1.46,-3.36,drive,0.2,-0.2,0,1.0,False
11,1774380261.74,204.02,203.81,9.18,2.09,2.58,drive,0.2,0.2,0,1.0,False
12,1774380264.67,196.91,196.06,-18.27,2.67,-5.33,drive,0.2,-0.3,0,1.0,False
13,1774380267.69,188.42,185.91,30.61,3.22,9.35,brake,0,0,15.0,1.0,True
14,1774380271.13,180.94,178.36,30.44,1.55,9.69,drive,0.1,0.2,0,1.0,False
15,1774380274.0,175.27,174.81,12.7,1.88,4.15,drive,0.2,0.2,0,1.0,False
16,1774380277.28,169.08,168.85,-8.79,2.47,-2.98,drive,0.2,-0.2,0,1.0,False
17,1774380280.05,160.33,159.36,17.64,3.04,6.32,brake,0,0,10,0.5,False
18,1774380283.04,153.39,152.38,17.53,1.91,6.56,drive,0.2,0.2,0,1.0,False
19,1774380285.79,146.97,146.96,-1.51,2.5,-0.59,drive,0.2,-0.1,0,1.0,False
20,1774380288.59,139.34,138.99,9.89,3.08,4.07,brake,0,0,10,0.5,False
21,1774380291.64,132.2,131.84,9.83,1.94,4.26,drive,0.2,0.2,0,1.0,False
22,1774380294.56,125.51,125.33,-6.76,2.54,-3.09,drive,0.2,-0.2,0,1.0,False
23,1774380297.56,117.35,116.6,13.19,3.1,6.45,brake,0,0,10,0.5,False
24,1774380300.85,109.57,108.79,13.12,1.97,6.88,drive,0.2,0.2,0,1.0,False
25,1774380303.77,102.42,102.42,-0.68,2.56,-0.38,drive,0.2,-0.1,0,1.0,False
26,1774380306.77,94.22,93.94,7.29,3.14,4.44,brake,0,0,10,0.5,False
27,1774380309.79,86.3,85.99,7.25,2.0,4.82,drive,0.2,0.2,0,1.0,False
28,1774380313.63,79.51,79.43,-3.68,2.59,-2.65,drive,0.2,-0.1,0,1.0,False
29,1774380316.63,68.75,68.71,2.31,3.18,1.92,brake,0,0,10,0.5,False
30,1774380319.83,60.76,60.71,2.28,2.04,2.15,drive,0.2,0.2,0,1.0,False
31,1774380322.97,53.49,53.22,-5.33,2.63,-5.72,drive,0.2,-0.2,0,1.0,False
32,1774380325.75,44.61,44.53,2.73,3.19,3.51,brake,0,0,10,0.5,False
33,1774380328.79,37.17,37.07,2.7,2.05,4.17,drive,0.2,0.2,0,1.0,False
34,1774380331.69,30.2,30.14,-1.81,2.64,-3.43,drive,0.2,-0.2,0,1.0,False
35,1774380334.34,21.87,21.73,2.47,3.2,6.49,brake,0,0,10,0.5,False
36,1774380337.38,14.91,14.7,2.46,2.05,9.49,drive,0.2,0.2,0,1.0,False
37,1774380340.58,8.01,7.95,0.95,2.64,6.81,brake,0,0,30,1.0,False
38,1774380343.95,3.21,3.08,0.93,0.12,16.88,drive,0.1,0.5,0,0.5,False
39,1774380346.85,3.15,3.02,0.9,0.23,16.52,drive,0.1,0.5,0,0.5,False
