step,timestamp,distance_m,forward_m,right_m,speed_mps,bearing_deg,tool,throttle,steer,brake_strength,duration_s,overridden_by_safety
0,1774376201.3,116.36,17.64,-115.01,0.01,-81.28,drive,0.2,-1.0,0,0.5,False
1,1774376204.63,116.14,29.44,-112.34,0.63,-75.32,drive,0.2,-1.0,0,0.5,False
2,1774376208.14,115.09,55.48,-100.84,1.18,-61.18,drive,0.2,-1.0,0,0.5,False
3,1774376210.97,112.27,86.47,-71.6,1.66,-39.63,drive,0.2,-1.0,0,0.5,False
4,1774376214.19,107.74,105.9,-19.86,2.05,-10.62,drive,0.2,-0.2,0,0.5,False
5,1774376217.56,100.26,100.06,-6.33,2.58,-3.62,drive,0.2,-0.2,0,0.5,False
6,1774376220.63,91.18,90.73,9.01,3.07,5.67,brake,0,0,15.0,1.0,True
7,1774376224.02,84.2,83.72,8.97,1.33,6.12,drive,0.1,0.2,0,1.0,False
8,1774376227.17,79.36,79.33,2.13,1.75,1.54,drive,0.1,0.1,0,1.0,False
9,1774376230.99,67.67,67.35,-6.56,5.95,-5.56,brake,0,0,15.0,1.0,True
10,1774376234.26,40.28,39.7,-6.86,6.71,-9.8,brake,0,0,20.0,1.0,False
11,1774376237.26,22.06,20.97,-6.84,4.41,-18.06,brake,0,0,15.0,1.0,True
12,1774376241.61,12.19,10.09,-6.83,2.69,-34.09,drive,0.1,-0.5,0,1.0,False
13,1774376244.63,5.7,0.73,-5.65,2.85,-82.67,drive,0.1,-1.0,0,0.5,False
14,1774376248.04,8.07,-2.9,-7.53,2.85,-111.03,drive,0.2,-1.0,0,0.5,False
15,1774376250.97,13.19,-5.04,-12.19,3.08,-112.47,brake,0,0,15.0,1.0,True
16,1774376254.64,16.92,-11.76,-12.17,1.37,-134.02,drive,0.2,-1.0,0,0.5,False
17,1774376257.71,20.58,-10.55,-17.67,1.79,-120.84,brake,0,0,20,1.0,False
18,1774376260.78,22.16,-13.4,-17.65,0.06,-127.21,drive,0.1,-1.0,0,0.5,False
19,1774376264.15,22.27,-12.98,-18.09,0.22,-125.65,drive,0.1,-1.0,0,0.5,False
20,1774376267.0,22.84,-12.04,-19.41,0.47,-121.81,brake,0,0,30,1.0,False
21,1774376271.27,23.1,-12.55,-19.4,0.02,-122.89,drive,0.1,-1.0,0,0.5,False
22,1774376274.16,23.23,-11.95,-19.92,0.25,-120.97,brake,0,0,30,1.0,False
23,1774376277.16,23.37,-12.22,-19.92,0.01,-121.54,drive,0.1,-1.0,0,0.5,False
24,1774376280.06,23.52,-11.6,-20.46,0.26,-119.54,brake,0,0,30,1.0,False
25,1774376283.13,23.66,-11.88,-20.46,0.01,-120.15,drive,0.1,-1.0,0,0.5,False
26,1774376286.25,23.8,-11.24,-20.98,0.26,-118.17,brake,0,0,30,1.0,False
27,1774376289.59,23.97,-11.59,-20.98,0.01,-118.91,drive,0.1,-1.0,0,0.5,False
28,1774376292.66,24.1,-10.91,-21.5,0.26,-116.9,brake,0,0,30,1.0,False
29,1774376295.96,24.25,-11.23,-21.49,0.01,-117.59,drive,0.1,-1.0,0,0.5,False
30,1774376299.06,24.38,-10.53,-21.99,0.26,-115.6,brake,0,0,30,1.0,False
31,1774376302.21,24.52,-10.87,-21.98,0.01,-116.31,drive,0.1,-1.0,0,0.5,False
32,1774376305.15,24.65,-10.14,-22.47,0.26,-114.28,brake,0,0,30,1.0,False
33,1774376308.25,24.77,-10.42,-22.47,0.01,-114.89,drive,0.1,-1.0,0,0.5,False
34,1774376311.37,24.89,-9.69,-22.92,0.26,-112.92,brake,0,0,30,1.0,False
35,1774376314.41,25.02,-10.03,-22.92,0.01,-113.65,drive,0.1,-1.0,0,0.5,False
36,1774376317.29,25.13,-9.27,-23.36,0.26,-111.64,brake,0,0,30,1.0,False
37,1774376320.38,25.23,-9.54,-23.35,0.01,-112.23,drive,0.1,-1.0,0,0.5,False
38,1774376323.23,25.33,-8.77,-23.77,0.26,-110.25,brake,0,0,30,1.0,False
39,1774376326.2,25.42,-9.04,-23.76,0.01,-110.82,drive,0.1,-1.0,0,0.5,False
40,1774376329.8,25.52,-8.24,-24.15,0.26,-108.83,brake,0,0,30,1.0,False
41,1774376333.15,25.67,-8.71,-24.15,0.01,-109.83,drive,0.1,-1.0,0,0.5,False
42,1774376336.76,25.75,-7.89,-24.51,0.26,-107.84,brake,0,0,30,1.0,False
43,1774376340.03,25.9,-8.36,-24.51,0.01,-108.83,drive,0.1,-1.0,0,0.5,False
44,1774376342.9,25.98,-7.51,-24.87,0.26,-106.8,brake,0,0,30,1.0,False
45,1774376345.85,26.06,-7.78,-24.87,0.01,-107.38,drive,0.1,-1.0,0,0.5,False
46,1774376348.73,26.13,-6.91,-25.2,0.26,-105.34,brake,0,0,30,1.0,False
47,1774376351.64,26.2,-7.2,-25.19,0.01,-105.95,drive,0.1,-1.0,0,0.5,False
48,1774376354.54,26.27,-6.34,-25.49,0.26,-103.96,brake,0,0,30,1.0,False
49,1774376361.69,26.34,-6.62,-25.49,0.01,-104.56,drive,0.1,-1.0,0,0.5,False
50,1774376364.75,26.37,-5.72,-25.75,0.25,-102.52,brake,0,0,30,1.0,False
51,1774376368.0,26.44,-6.04,-25.74,0.01,-103.2,drive,0.1,-1.0,0,0.5,False
52,1774376371.12,26.49,-5.14,-25.99,0.26,-101.2,brake,0,0,30,1.0,False
53,1774376374.42,26.56,-5.48,-25.98,0.01,-101.92,drive,0.1,-1.0,0,0.5,False
54,1774376377.81,26.6,-4.59,-26.2,0.26,-99.93,brake,0,0,30,1.0,False
55,1774376381.08,26.67,-5.0,-26.2,0.01,-100.8,drive,0.1,-1.0,0,0.5,False
56,1774376384.13,26.71,-4.09,-26.39,0.26,-98.81,brake,0,0,30,1.0,False
57,1774376387.38,26.76,-4.41,-26.39,0.01,-99.49,drive,0.1,-1.0,0,0.5,False
58,1774376390.32,26.79,-3.5,-26.56,0.26,-97.5,brake,0,0,30,1.0,False
59,1774376393.72,26.82,-3.78,-26.55,0.01,-98.11,drive,0.1,-1.0,0,0.5,False
60,1774376396.81,26.84,-2.86,-26.69,0.26,-96.11,brake,0,0,30,1.0,False
61,1774376399.97,26.88,-3.19,-26.69,0.01,-96.82,drive,0.1,-1.0,0,0.5,False
62,1774376403.11,26.89,-2.27,-26.8,0.26,-94.84,brake,0,0,30,1.0,False
63,1774376406.5,26.92,-2.61,-26.8,0.01,-95.57,drive,0.1,-1.0,0,0.5,False
64,1774376409.53,26.93,-1.68,-26.88,0.26,-93.58,brake,0,0,30,1.0,False
65,1774376412.74,26.95,-2.0,-26.88,0.01,-94.26,drive,0.1,-1.0,0,0.5,False
66,1774376415.67,26.95,-1.07,-26.93,0.26,-92.28,brake,0,0,30,1.0,False
67,1774376418.87,26.96,-1.36,-26.93,0.01,-92.9,drive,0.1,-1.0,0,0.5,False
68,1774376421.96,26.95,-0.44,-26.95,0.26,-90.93,brake,0,0,30,1.0,False
69,1774376425.08,26.96,-0.76,-26.95,0.01,-91.63,drive,0.1,-1.0,0,0.5,False
70,1774376428.6,26.94,0.17,-26.94,0.26,-89.64,brake,0,0,30,1.0,False
71,1774376431.62,26.94,-0.27,-26.94,0.01,-90.58,drive,0.1,-1.0,0,0.5,False
72,1774376434.65,26.92,0.66,-26.91,0.26,-88.59,brake,0,0,30,1.0,False
73,1774376438.19,26.92,0.34,-26.91,0.01,-89.27,drive,0.1,-1.0,0,0.5,False
74,1774376441.13,26.89,1.27,-26.86,0.26,-87.29,brake,0,0,30,1.0,False
75,1774376444.43,26.87,0.98,-26.86,0.01,-87.91,drive,0.1,-1.0,0,0.5,False
76,1774376447.58,26.84,1.92,-26.77,0.26,-85.9,brake,0,0,30,1.0,False
77,1774376450.82,26.81,1.57,-26.77,0.01,-86.65,drive,0.1,-1.0,0,0.5,False
78,1774376453.83,26.77,2.51,-26.65,0.26,-84.62,brake,0,0,30,1.0,False
