step,timestamp,distance_m,forward_m,right_m,speed_mps,bearing_deg,tool,throttle,steer,brake_strength,duration_s,overridden_by_safety
0,1774372253.31,198.18,178.44,-86.21,0.0,-25.79,drive,0.2,-0.5,0,1.0,False
1,1774372256.31,197.57,180.7,-79.9,0.66,-23.85,drive,0.2,-0.4,0,1.0,False
2,1774372259.45,195.29,185.88,-59.9,1.28,-17.86,drive,0.2,-0.3,0,1.0,False
3,1774372262.43,191.01,188.0,-33.81,1.87,-10.2,drive,0.2,-0.2,0,1.0,False
4,1774372264.77,184.95,184.8,-7.53,2.47,-2.33,drive,0.2,-0.1,0,1.0,False
5,1774372267.7,178.87,178.64,9.08,3.03,2.91,brake,0,0,15.0,1.0,True
6,1774372270.77,170.68,170.27,11.93,1.46,4.01,drive,0.2,0.1,0,1.0,False
7,1774372272.88,166.11,166.02,5.6,1.95,1.93,drive,0.2,0.1,0,1.0,False
8,1774372275.76,161.66,161.59,-4.59,2.53,-1.63,drive,0.2,-0.1,0,1.0,False
9,1774372278.18,153.99,153.96,3.13,3.09,1.16,brake,0,0,15.0,1.0,True
10,1774372281.32,147.18,147.05,6.07,1.53,2.36,drive,0.2,0.1,0,1.0,False
11,1774372283.65,142.31,142.31,0.42,2.01,0.17,drive,0.1,0.1,0,1.0,False
12,1774372286.89,137.35,137.1,-8.31,2.34,-3.47,drive,0.1,-0.3,0,1.0,False
13,1774372289.12,129.64,129.15,11.33,2.61,5.01,drive,0.1,0.2,0,1.0,False
14,1774372291.27,123.68,123.64,3.12,2.88,1.44,drive,0.1,0.1,0,1.0,False
15,1774372293.89,117.28,116.84,-10.15,3.16,-4.96,brake,0,0,15.0,1.0,True
16,1774372296.81,109.33,107.73,-18.68,2.07,-9.84,drive,0.1,-0.5,0,1.0,False
17,1774372298.86,101.64,100.5,15.17,3.57,8.58,brake,0,0,10,1.0,False
18,1774372301.43,93.3,88.58,29.29,4.45,18.3,brake,0,0,15.0,1.0,True
19,1774372303.6,80.38,75.64,27.21,5.22,19.79,brake,0,0,20,1.0,False
20,1774372305.87,69.22,63.23,28.17,4.16,24.01,brake,0,0,15,1.0,False
21,1774372308.52,61.7,54.87,28.22,2.43,27.22,drive,0.1,0.3,0,1.0,False
22,1774372310.89,56.03,52.38,19.89,2.57,20.79,drive,0.1,0.2,0,1.0,False
23,1774372312.89,50.09,48.91,10.84,2.82,12.5,drive,0.2,0.1,0,1.0,False
24,1774372315.16,44.23,43.84,5.87,3.32,7.63,brake,0,0,15.0,1.0,True
25,1774372318.0,37.5,37.15,5.08,1.72,7.79,drive,0.1,0.1,0,1.0,False
26,1774372320.05,32.76,32.54,3.72,1.9,6.51,drive,0.1,0.1,0,1.0,False
27,1774372322.26,28.75,28.68,1.98,2.17,3.95,drive,0.1,0.1,0,1.0,False
28,1774372324.43,23.79,23.78,0.29,2.43,0.7,drive,0.1,0.1,0,1.0,False
29,1774372327.05,18.33,18.29,-1.21,2.7,-3.8,drive,0.1,-0.1,0,1.0,False
30,1774372329.62,11.14,11.12,-0.66,2.95,-3.4,drive,0.1,-0.1,0,1.0,False
31,1774372331.67,3.47,3.47,-0.12,3.19,-1.97,brake,0,0,30,1.0,False
