step,timestamp,distance_m,forward_m,right_m,speed_mps,bearing_deg,tool,throttle,steer,brake_strength,duration_s,overridden_by_safety
0,1774891760.56,168.89,-16.13,168.11,0.0,95.48,drive,0.2,1.0,0,0.5,False
1,1774891762.84,168.88,-2.13,168.87,0.61,90.72,drive,0.2,1.0,0,0.5,False
2,1774891765.05,168.68,36.86,164.61,1.14,77.38,drive,0.15,1.0,0,0.5,False
3,1774891767.85,167.67,90.7,141.02,1.49,57.25,drive,0.15,1.0,0,0.5,False
4,1774891770.93,164.76,139.63,87.46,1.81,32.06,drive,0.2,0.5,0,1.0,False
5,1774891774.57,159.15,155.59,33.51,2.34,12.15,drive,0.2,0.2,0,1.0,False
6,1774891777.99,150.48,150.14,10.03,2.89,3.82,brake,0,0,10,0.5,False
7,1774891781.83,141.63,141.29,9.69,1.71,3.92,drive,0.2,0.2,0,1.0,False
8,1774891785.56,134.23,134.12,-5.34,3.14,-2.28,brake,0,0,10,0.5,False
9,1774891789.25,114.06,113.88,-6.53,6.99,-3.28,brake,0,0,50,1.0,False
10,1774891793.29,89.67,89.38,-7.15,2.94,-4.57,drive,0.1,-0.3,0,1.0,False
11,1774891796.42,77.68,76.5,13.53,3.16,10.03,brake,0,0,20,0.5,False
12,1774891800.01,69.71,68.31,13.89,0.92,11.49,drive,0.2,0.5,0,1.0,False
13,1774891803.73,66.03,65.98,2.67,1.47,2.32,drive,0.2,0.2,0,1.0,False
14,1774891807.15,60.12,59.99,-3.93,2.02,-3.75,drive,0.2,-0.3,0,1.0,False
15,1774891810.97,52.75,52.34,6.58,2.53,7.17,drive,0.1,0.4,0,1.0,False
16,1774891814.6,43.16,42.63,-6.74,2.72,-8.99,drive,0.1,-0.5,0,1.0,False
17,1774891818.84,33.32,32.62,6.81,2.87,11.79,drive,0.1,0.6,0,1.0,False
18,1774891822.33,21.45,21.08,-3.97,2.98,-10.67,drive,0.1,-0.5,0,1.0,False
19,1774891826.25,11.31,11.26,1.06,3.13,5.37,brake,0,0,20,0.5,False
