step,timestamp,distance_m,forward_m,right_m,speed_mps,bearing_deg,tool,throttle,steer,brake_strength,duration_s,overridden_by_safety
0,1774893988.46,267.58,-13.96,267.22,0.02,92.99,drive,0.2,1.0,0,0.5,False
1,1774893990.53,267.57,-1.76,267.57,0.55,90.38,drive,0.2,1.0,0,0.5,False
2,1774893992.36,267.38,51.36,262.4,1.09,78.93,drive,0.15,1.0,0,0.5,False
3,1774893994.5,266.53,131.78,231.68,1.43,60.37,drive,0.15,1.0,0,0.5,False
4,1774893996.73,264.3,212.23,157.52,1.74,36.58,drive,0.2,0.8,0,1.0,False
5,1774893998.78,260.4,258.04,34.96,2.16,7.72,drive,0.2,0.2,0,1.0,False
6,1774894001.67,255.67,251.41,-46.45,2.72,-10.47,drive,0.2,-0.3,0,1.0,False
7,1774894004.39,247.6,247.49,-7.3,3.22,-1.69,brake,0,0,10,0.5,False
8,1774894006.99,239.32,239.16,8.87,2.13,2.12,drive,0.2,0.2,0,1.0,False
9,1774894009.4,233.61,233.18,-14.26,2.73,-3.5,drive,0.2,-0.3,0,1.0,False
10,1774894012.05,223.55,218.84,45.65,6.15,11.78,brake,0,0,50,0.5,False
11,1774894014.55,205.8,191.17,76.2,4.39,21.73,brake,0,0,30,0.5,False
12,1774894017.27,197.44,182.45,75.48,1.13,22.48,drive,0.15,1.0,0,0.5,False
13,1774894020.09,194.72,190.65,39.6,1.29,11.73,drive,0.2,0.3,0,1.0,False
14,1774894022.62,190.72,190.48,-9.62,1.84,-2.89,drive,0.2,-0.1,0,1.0,False
15,1774894025.32,185.76,185.57,-8.21,2.39,-2.53,drive,0.1,-0.1,0,1.0,False
16,1774894028.16,179.09,179.02,4.76,2.67,1.52,drive,0.1,0.1,0,1.0,False
17,1774894030.4,171.36,171.32,-3.73,2.92,-1.25,drive,0.1,-0.1,0,1.0,False
18,1774894032.28,164.69,164.61,4.94,3.17,1.72,brake,0,0,10,0.5,False
19,1774894034.35,159.27,159.07,8.01,2.05,2.88,drive,0.1,0.2,0,1.0,False
20,1774894036.53,154.99,154.82,-7.23,2.25,-2.67,drive,0.1,-0.2,0,1.0,False
21,1774894038.62,149.95,149.87,4.72,2.51,1.8,drive,0.1,0.2,0,1.0,False
22,1774894040.62,144.59,144.37,-8.09,2.76,-3.21,drive,0.1,-0.3,0,1.0,False
23,1774894042.97,138.96,138.41,12.42,2.99,5.13,drive,0.1,0.3,0,1.0,False
24,1774894044.81,131.85,131.68,-6.57,3.21,-2.86,brake,0,0,10,0.5,False
25,1774894046.91,126.53,125.6,-15.39,2.09,-6.99,drive,0.1,-0.4,0,1.0,False
26,1774894048.97,122.14,121.95,6.93,2.27,3.25,drive,0.1,0.2,0,1.0,False
27,1774894051.03,117.33,117.31,2.42,2.54,1.18,drive,0.1,0.1,0,1.0,False
28,1774894053.03,111.95,111.61,-8.69,2.81,-4.45,drive,0.1,-0.3,0,1.0,False
29,1774894055.15,106.22,105.73,10.21,3.04,5.51,brake,0,0,10,0.5,False
30,1774894057.3,100.41,99.01,16.68,1.92,9.56,drive,0.1,0.4,0,1.0,False
31,1774894059.37,96.31,96.31,-0.11,2.1,-0.07,drive,0.2,0.0,0,1.0,False
32,1774894061.4,91.65,91.42,-6.51,2.65,-4.07,drive,0.1,-0.2,0,1.0,False
33,1774894063.84,86.13,86.02,4.35,2.92,2.9,drive,0.1,0.2,0,1.0,False
34,1774894065.8,78.88,78.8,-3.52,3.17,-2.56,brake,0,0,10,0.5,False
35,1774894068.06,73.18,72.85,-6.95,2.05,-5.45,drive,0.1,-0.3,0,1.0,False
36,1774894071.73,68.57,68.52,2.58,2.25,2.15,drive,0.1,0.2,0,1.0,False
37,1774894075.76,60.13,60.13,-0.72,2.52,-0.68,drive,0.1,-0.1,0,1.0,False
38,1774894079.08,49.85,49.85,0.55,2.78,0.64,drive,0.1,0.1,0,1.0,False
39,1774894081.33,40.47,40.44,-1.46,3.04,-2.07,brake,0,0,10,0.5,False
40,1774894086.59,34.14,34.07,-2.18,1.93,-3.67,drive,0.2,-0.2,0,1.0,False
41,1774894090.63,24.0,24.0,0.13,2.4,0.3,drive,0.1,0.1,0,1.0,False
42,1774894092.63,14.05,14.05,-0.1,2.69,-0.41,brake,0,0,20,0.5,False
43,1774894097.71,9.69,9.69,-0.31,0.56,-1.85,drive,0.1,-0.1,0,0.5,False
44,1774894102.07,7.1,7.1,-0.23,0.76,-1.85,brake,0,0,30,0.5,False
45,1774894104.99,4.36,4.35,-0.2,0.05,-2.57,drive,0.1,-0.1,0,0.5,False
46,1774894108.51,4.35,4.34,-0.19,0.24,-2.53,brake,0,0,50,0.5,False
47,1774894112.88,3.69,3.68,-0.19,0.01,-2.94,drive,0.1,-0.1,0,0.5,False
48,1774894116.23,3.61,3.6,-0.18,0.27,-2.9,brake,0,0,50,0.5,False
