step,timestamp,distance_m,forward_m,right_m,speed_mps,bearing_deg,tool,throttle,steer,brake_strength,duration_s,overridden_by_safety
0,1774891837.54,189.91,-151.28,114.81,0.02,142.8,drive,0.2,1.0,0,0.5,False
1,1774891840.41,190.37,-139.91,129.1,0.62,137.3,drive,0.2,1.0,0,0.5,False
2,1774891843.21,191.81,-106.44,159.56,1.16,123.71,drive,0.2,1.0,0,0.5,False
3,1774891847.36,193.4,-39.72,189.28,1.65,101.85,drive,0.2,1.0,0,0.5,False
4,1774891849.91,194.08,53.32,186.61,2.1,74.05,drive,0.15,1.0,0,0.5,False
5,1774891853.05,191.55,147.1,122.7,2.33,39.83,drive,0.1,0.8,0,0.5,False
6,1774891855.52,185.34,184.17,20.77,2.41,6.43,drive,0.2,0.2,0,1.0,False
7,1774891858.04,179.02,178.46,-14.18,2.91,-4.54,drive,0.2,-0.2,0,1.0,False
8,1774891862.11,171.14,170.29,17.04,3.38,5.71,brake,0,0,10,0.1,False
9,1774891865.61,158.76,158.16,13.78,2.38,4.98,drive,0.2,0.2,0,1.0,False
10,1774891869.4,145.89,143.43,-26.7,5.14,-10.54,brake,0,0,20,0.5,False
11,1774891872.92,125.84,121.37,-33.25,4.51,-15.32,brake,0,0,30,0.5,False
12,1774891876.7,110.18,101.52,-42.8,3.12,-22.86,brake,0,0,15.0,1.0,True
13,1774891880.41,97.85,87.4,-43.99,3.2,-26.72,brake,0,0,15.0,1.0,True
14,1774891884.04,87.33,76.3,-42.48,1.94,-29.11,drive,0.1,-1.0,0,0.5,False
15,1774891887.78,80.91,80.88,-1.91,2.05,-1.35,drive,0.2,-0.1,0,1.0,False
16,1774891891.86,72.82,72.48,7.06,2.6,5.57,drive,0.2,0.2,0,1.0,False
17,1774891895.09,61.84,61.75,-3.3,3.12,-3.06,brake,0,0,10,0.5,False
18,1774891899.19,52.9,52.79,-3.3,1.93,-3.57,drive,0.2,-0.2,0,1.0,False
19,1774891902.61,44.49,44.42,2.57,2.48,3.31,drive,0.2,0.2,0,1.0,False
20,1774891906.43,35.61,35.46,-3.3,3.0,-5.32,brake,0,0,10,0.5,False
21,1774891910.16,25.38,25.17,-3.3,1.8,-7.47,drive,0.15,-0.5,0,0.5,False
22,1774891913.7,18.39,18.22,2.52,2.16,7.88,drive,0.15,0.5,0,0.5,False
23,1774891918.29,10.56,10.46,-1.44,2.5,-7.82,brake,0,0,20,0.5,False
