file,success,initial_distance_m,final_distance_m,distance_reduction_m,progress_ratio,n_steps,episode_duration_s,mean_speed_mps,max_speed_mps,n_drive_actions,n_brake_actions,total_brake_time_s,mean_brake_strength,n_safety_overrides,pct_safety_overrides,mean_abs_bearing_deg,max_abs_bearing_deg,steer_diff_mean,throttle_diff_mean,steer_sign_changes,forward_sign_changes
1.csv,True,198.18,5.49,192.69,0.9722979109900091,35,79.11999988555908,2.3659999999999997,3.65,23,12,7.5,17.5,1,2.857142857142857,6.091428571428572,25.79,0.22058823529411764,0.08676470588235295,15,0
10.csv,True,188.74,3.14,185.60000000000002,0.9833633569990464,39,136.0199999809265,2.085897435897436,5.97,30,9,4.1,18.88888888888889,0,0.0,51.964102564102575,168.57,0.28421052631578947,0.05789473684210528,8,2
11.csv,True,45.39,3.28,42.11,0.9277373870896674,16,50.139999866485596,1.42875,3.12,13,3,1.6,16.666666666666668,0,0.0,54.740624999999994,172.65,0.09333333333333332,0.06000000000000001,0,0
12.csv,True,241.37,3.85,237.52,0.9840493847619837,29,98.57999992370605,2.331379310344828,5.73,22,7,4.5,18.571428571428573,0,0.0,19.050689655172416,108.28,0.24999999999999997,0.0732142857142857,13,0
13.csv,True,193.76,3.08,190.67999999999998,0.9841040462427745,45,157.4099998474121,1.341111111111111,4.42,28,17,14.5,25.58823529411765,1,2.2222222222222223,13.068,121.25,0.10454545454545455,0.08409090909090909,6,0
14.csv,True,279.88,4.37,275.51,0.9843861654994998,38,132.68999981880188,2.0013157894736846,6.99,30,8,4.0,23.75,0,0.0,12.188684210526313,75.81,0.24864864864864858,0.07027027027027029,13,0
15.csv,True,270.73,7.7,263.03000000000003,0.971558379196986,31,106.01999998092651,2.535483870967742,6.42,21,10,4.6,14.0,0,0.0,21.275806451612908,133.36,0.21333333333333332,0.09000000000000002,12,0
16.csv,True,294.94,3.47,291.46999999999997,0.9882348952329286,40,138.4100000858307,2.18025,6.85,31,9,4.5,17.77777777777778,0,0.0,12.664750000000002,88.75,0.24102564102564103,0.057692307692307696,17,0
17.csv,True,297.49,6.91,290.58,0.9767723284816295,35,120.09000015258789,2.3882857142857143,6.4,27,8,4.5,20.0,0,0.0,9.711142857142857,57.61,0.2882352941176471,0.07205882352941177,19,0
18.csv,False,195.55,16.9,178.65,0.913577090258246,101,365.8800001144409,2.0525742574257424,6.77,87,14,8.1,25.357142857142858,1,0.9900990099009901,75.06564356435644,134.96,0.256,0.051500000000000004,10,14
19.csv,True,116.36,3.17,113.19,0.9727569611550361,22,71.20000004768372,1.5668181818181817,6.77,16,6,3.5,25.833333333333332,1,4.545454545454546,25.448636363636364,81.27,0.2571428571428571,0.04285714285714285,3,0
2.csv,True,216.44,3.1,213.34,0.9856773239696914,35,110.6800000667572,2.006,4.19,22,13,5.4,17.307692307692307,1,2.857142857142857,28.772,174.29,0.1588235294117647,0.07941176470588238,7,0
20.csv,True,276.47,3.49,272.98,0.9873765688863168,50,129.1399998664856,2.3084,4.61,36,14,7.1,13.928571428571429,1,2.0,14.875200000000005,116.7,0.2897959183673469,0.08775510204081632,20,0
21.csv,True,259.79,3.26,256.53000000000003,0.9874514030563147,45,157.50999999046326,1.6611111111111114,5.18,28,17,8.6,25.0,1,2.2222222222222223,19.85488888888889,152.03,0.18181818181818182,0.07727272727272728,11,0
22.csv,False,130.18,22.85,107.33000000000001,0.8244738055000769,101,366.6099998950958,2.028613861386139,5.25,86,15,9.7,21.666666666666668,3,2.9702970297029703,86.06188118811883,143.22,0.26799999999999996,0.052000000000000005,3,13
23.csv,True,280.88,3.48,277.4,0.9876103674166903,32,109.09999990463257,2.4003125,5.56,22,10,5.0,16.0,0,0.0,10.4190625,55.97,0.27741935483870966,0.09193548387096774,13,0
24.csv,True,212.09,3.13,208.96,0.9852421141968033,30,101.99000000953674,1.9566666666666666,6.66,21,9,5.1,30.0,0,0.0,18.871,116.42,0.20344827586206893,0.07586206896551725,11,0
25.csv,True,257.89,3.62,254.26999999999998,0.9859630074838109,33,113.5400002002716,2.14030303030303,6.26,26,7,4.0,22.142857142857142,1,3.0303030303030303,15.663636363636362,104.91,0.22812500000000002,0.065625,14,0
26.csv,True,282.03,10.71,271.32,0.9620253164556962,33,113.5,2.5257575757575754,5.59,24,9,4.1,15.555555555555555,0,0.0,27.253030303030304,166.55,0.20625,0.08750000000000001,13,0
27.csv,True,168.89,11.31,157.57999999999998,0.9330333353070045,20,65.69000005722046,2.3429999999999995,6.99,15,5,3.0,22.0,0,0.0,22.724500000000003,95.48,0.39999999999999997,0.06842105263157895,6,0
28.csv,True,189.91,10.56,179.35,0.9443947132852404,24,80.75,2.4379166666666667,5.14,16,8,4.6,16.25,2,8.333333333333334,32.9625,142.8,0.30434782608695654,0.08260869565217391,7,0
29.csv,True,224.01,8.27,215.73999999999998,0.9630820052676219,27,91.01999998092651,2.3055555555555554,4.23,19,8,4.0,18.75,0,0.0,9.110740740740741,26.31,0.36538461538461536,0.07884615384615384,10,0
3.csv,True,241.73,7.68,234.04999999999998,0.9682290158441236,29,99.16000008583069,2.3299999999999996,6.59,21,8,3.6,18.75,0,0.0,19.018620689655172,105.06,0.32857142857142857,0.09285714285714286,12,0
30.csv,True,180.59,3.44,177.15,0.9809513262085386,22,72.75999999046326,2.2568181818181823,7.66,16,6,3.5,19.166666666666668,1,4.545454545454546,19.604545454545455,75.46,0.24285714285714283,0.09523809523809523,6,0
31.csv,True,190.15,13.33,176.82,0.9298974493820668,22,72.90999984741211,2.462727272727273,5.77,16,6,2.6,20.0,0,0.0,23.554090909090913,112.16,0.19047619047619052,0.09047619047619047,6,0
32.csv,True,265.2,4.27,260.93,0.9838989441930619,35,121.52999997138977,2.098857142857143,6.18,25,10,5.0,17.0,0,0.0,15.696,115.94,0.16176470588235292,0.10294117647058823,8,0
33.csv,True,262.35,5.85,256.5,0.9777015437392795,34,113.4300000667572,2.3726470588235293,5.94,24,10,5.5,16.5,1,2.9411764705882355,14.692941176470589,91.93,0.27878787878787875,0.07575757575757577,16,0
34.csv,True,141.71,3.25,138.46,0.9770658386846376,19,60.65000009536743,2.4294736842105267,5.59,14,5,2.5,28.0,0,0.0,28.14210526315789,117.06,0.1888888888888889,0.05555555555555555,5,0
35.csv,True,287.97,4.53,283.44000000000005,0.9842691947077822,38,131.5900001525879,2.1389473684210527,6.9,30,8,4.0,21.25,0,0.0,16.653684210526315,103.63,0.2783783783783784,0.06756756756756759,15,0
36.csv,True,265.74,3.94,261.8,0.9851734778354783,56,144.97000002861023,1.8894642857142856,3.29,37,19,12.0,13.68421052631579,0,0.0,1.8837499999999998,9.34,0.1890909090909091,0.11272727272727273,22,0
37.csv,True,249.92,11.97,237.95,0.9521046734955185,55,195.30999994277954,2.059272727272727,3.9,44,11,6.5,20.0,2,3.6363636363636362,48.415272727272715,172.65,0.2796296296296297,0.06388888888888888,13,5
38.csv,False,169.55,47.95,121.60000000000001,0.7171925685638455,101,370.0,1.000891089108911,4.38,93,8,5.0,15.0,2,1.9801980198019802,64.53663366336633,175.2,0.095,0.0275,10,3
39.csv,True,280.43,7.23,273.2,0.9742181649609527,33,110.87999987602234,2.504848484848485,6.1,25,8,4.0,17.5,0,0.0,23.892727272727274,144.7,0.3125,0.06875,14,0
4.csv,True,210.96,10.48,200.48000000000002,0.9503223359878651,25,84.0,2.4216,6.62,19,6,3.5,20.833333333333332,1,4.0,12.6436,60.41,0.38333333333333336,0.07708333333333335,10,0
40.csv,True,267.58,3.61,263.96999999999997,0.9865087076762089,49,127.76999998092651,2.1748979591836735,6.15,37,12,6.0,24.166666666666668,0,0.0,11.25469387755102,92.99,0.2833333333333333,0.06458333333333334,24,0
5.csv,True,222.91,8.14,214.76999999999998,0.9634830200529361,27,91.0,2.4199999999999995,6.62,21,6,2.6,21.666666666666668,0,0.0,20.51888888888889,115.26,0.23846153846153847,0.06538461538461539,13,0
6.csv,True,120.38,6.78,113.6,0.9436783518856953,19,62.30000019073486,2.0742105263157895,4.27,14,5,1.7,22.0,0,0.0,49.970000000000006,174.99,0.13888888888888892,0.05,3,0
7.csv,True,218.4,3.32,215.08,0.9847985347985349,30,100.17999982833862,2.123666666666667,5.13,22,8,4.5,20.625,1,3.3333333333333335,19.922333333333327,121.0,0.21379310344827587,0.06896551724137932,11,0
8.csv,True,281.7,4.26,277.44,0.984877529286475,36,124.88000011444092,2.181111111111111,5.03,28,8,4.5,23.125,1,2.7777777777777777,17.67638888888889,113.19,0.3542857142857143,0.07714285714285714,17,0
9.csv,True,229.52,6.27,223.25,0.972682119205298,28,95.77999997138977,2.3578571428571427,5.68,22,6,3.0,26.666666666666668,0,0.0,21.011785714285715,110.29,0.4370370370370371,0.048148148148148155,12,0
