step,timestamp,distance_m,forward_m,right_m,speed_mps,bearing_deg,tool,throttle,steer,brake_strength,duration_s,overridden_by_safety
0,1774278748.04,193.82,-100.38,-165.8,0.02,-121.19,drive,0.2,-1,0,0.5,False
1,1774278750.63,193.97,-92.27,-170.62,0.57,-118.4,drive,0.2,-1,0,0.5,False
2,1774278753.16,194.65,-56.88,-186.16,1.11,-106.99,drive,0.2,-1,0,0.5,False
3,1774278755.68,195.02,7.8,-194.87,1.57,-87.71,drive,0.2,-1,0,0.5,False
4,1774278758.27,193.92,89.88,-171.83,1.96,-62.39,drive,0.3,-0.6,0,1.0,False
5,1774278760.75,190.08,158.51,-104.9,2.68,-33.5,drive,0.4,-0.3,0,1.0,False
6,1774278763.21,183.46,177.61,-45.95,3.64,-14.51,brake,0,0,20,0.1,False
7,1774278765.86,175.45,172.37,-32.75,1.58,-10.76,drive,0.5,-0.2,0,1.0,False
8,1774278768.15,171.09,170.05,-18.86,2.63,-6.33,drive,0.5,-0.1,0,1.0,False
9,1774278770.51,164.09,164.09,-0.85,3.96,-0.3,brake,0,0,30,0.1,False
10,1774278774.88,154.03,153.07,17.19,3.0,6.41,drive,0.3,0.2,0,1.0,False
11,1774278777.02,132.03,130.83,-17.75,7.75,-7.73,brake,0,0,40,0.1,False
12,1774278779.58,116.49,111.37,-34.15,4.5,-17.05,brake,0,0,15.0,1.0,True
13,1774278781.92,106.85,101.01,-34.84,2.63,-19.03,drive,0.2,-0.5,0,1.0,False
14,1774278784.14,100.93,100.65,-7.4,2.97,-4.21,drive,0.3,-0.2,0,1.0,False
15,1774278786.35,93.94,91.99,19.03,3.72,11.69,brake,0,0,20,1.0,False
16,1774278788.56,86.89,83.9,22.6,1.63,15.08,drive,0.2,0.3,0,1.0,False
17,1774278790.81,83.32,82.23,13.44,2.06,9.28,drive,0.3,0.2,0,1.0,False
18,1774278793.11,78.23,78.22,1.22,2.85,0.89,drive,0.4,0.1,0,1.0,False
19,1774278795.23,71.1,70.77,-6.84,3.86,-5.52,brake,0,0,20,1.0,False
20,1774278797.48,63.78,63.23,-8.33,1.83,-7.5,drive,0.2,-0.5,0,1.0,False
21,1774278799.87,59.64,59.48,4.4,2.2,4.23,drive,0.3,0.2,0,1.0,False
22,1774278802.07,54.02,53.89,3.8,2.98,4.03,drive,0.3,0.2,0,1.0,False
23,1774278804.19,47.0,46.7,-5.33,3.75,-6.52,brake,0,0,20,1.0,False
24,1774278806.64,40.06,39.35,-7.5,1.67,-10.79,drive,0.2,-0.5,0,1.0,False
25,1774278808.81,36.03,36.02,-0.55,2.04,-0.87,drive,0.3,-0.1,0,1.0,False
26,1774278811.04,31.13,30.8,4.51,2.84,8.33,drive,0.2,0.3,0,1.0,False
27,1774278814.13,24.46,24.46,-0.27,3.37,-0.63,brake,0,0,20,1.0,False
28,1774278816.45,15.1,14.98,-1.89,1.25,-7.19,drive,0.1,-0.7,0,1.0,False
29,1774278818.75,12.32,12.31,0.49,1.36,2.28,drive,0.1,0.2,0,1.0,False
30,1774278821.12,9.05,8.99,1.06,1.64,6.7,drive,0.1,0.6,0,1.0,False
31,1774278823.37,5.1,5.08,-0.38,1.83,-4.3,drive,0.1,-0.4,0,1.0,False
