step,timestamp,distance_m,forward_m,right_m,speed_mps,bearing_deg,tool,throttle,steer,brake_strength,duration_s,overridden_by_safety
0,1774276143.15,141.76,-64.38,-126.3,0.01,-117.01,drive,0.2,-1,0,0.5,False
1,1774276145.22,141.89,-58.27,-129.37,0.57,-114.25,drive,0.2,-1,0,0.5,False
2,1774276147.74,142.32,-32.18,-138.63,1.09,-103.07,drive,0.2,-1,0,0.5,False
3,1774276149.99,142.48,14.87,-141.71,1.56,-84.01,drive,0.2,-0.8,0,1.0,False
4,1774276152.61,141.29,70.64,-122.37,1.99,-60.0,drive,0.3,-0.6,0,1.0,False
5,1774276154.96,137.49,112.89,-78.49,2.68,-34.81,drive,0.4,-0.4,0,1.0,False
6,1774276157.23,131.28,128.09,-28.78,3.62,-12.66,brake,0,0,20,0.5,False
7,1774276159.63,123.98,123.0,-15.58,1.52,-7.22,drive,0.2,-0.2,0,1.0,False
8,1774276162.48,120.22,120.07,-6.07,1.97,-2.89,drive,0.3,-0.1,0,1.0,False
9,1774276164.87,114.3,114.27,2.46,2.71,1.23,drive,0.3,0.1,0,1.0,False
10,1774276167.02,107.24,107.24,-0.91,3.87,-0.49,brake,0,0,20,0.5,False
11,1774276169.05,97.33,97.32,0.93,4.2,0.55,brake,0,0,20,0.5,False
12,1774276171.04,87.59,87.53,3.32,4.29,2.17,brake,0,0,20,0.5,False
13,1774276173.14,78.13,77.95,5.38,4.26,3.95,brake,0,0,20,0.5,False
14,1774276175.54,69.88,69.74,4.41,2.33,3.62,drive,0.2,0.2,0,1.0,False
15,1774276177.88,64.18,64.1,-3.13,2.78,-2.8,drive,0.2,-0.2,0,1.0,False
16,1774276180.21,57.31,57.22,3.18,3.31,3.18,brake,0,0,10,0.5,False
17,1774276182.41,50.23,49.97,5.08,2.18,5.8,drive,0.2,0.2,0,1.0,False
18,1774276184.7,45.26,45.26,-0.02,2.66,-0.03,drive,0.2,0.0,0,1.0,False
19,1774276186.77,38.88,38.86,-1.33,3.2,-1.96,brake,0,0,10,0.5,False
20,1774276189.02,32.77,32.75,-1.33,2.08,-2.33,drive,0.2,-0.2,0,1.0,False
21,1774276191.45,27.92,27.87,1.74,2.57,3.57,drive,0.2,0.2,0,1.0,False
22,1774276193.76,21.37,21.37,-0.44,3.09,-1.18,brake,0,0,10,0.5,False
23,1774276196.04,14.83,14.78,-1.16,1.97,-4.47,drive,0.2,-0.4,0,1.0,False
24,1774276198.39,10.19,10.14,0.98,2.42,5.52,drive,0.1,0.5,0,1.0,False
25,1774276201.36,4.44,4.44,0.08,2.61,1.07,brake,0,0,30,1.0,False
