step,timestamp,distance_m,forward_m,right_m,speed_mps,bearing_deg,tool,throttle,steer,brake_strength,duration_s,overridden_by_safety
0,1774276541.46,265.64,265.45,9.99,0.01,2.16,drive,0.2,0.2,0,1.0,False
1,1774276543.79,265.26,265.18,6.57,0.63,1.42,drive,0.3,0.2,0,1.0,False
2,1774276546.16,263.27,263.17,-7.37,1.51,-1.6,drive,0.2,-0.2,0,1.0,False
3,1774276548.51,259.26,259.02,11.12,2.14,2.46,drive,0.2,0.2,0,1.0,False
4,1774276550.81,253.91,253.62,-12.06,2.71,-2.72,drive,0.2,-0.2,0,1.0,False
5,1774276553.03,247.27,246.79,15.49,3.28,3.59,brake,0,0,20,0.5,False
6,1774276555.5,241.09,239.97,23.28,1.17,5.54,drive,0.2,0.5,0,1.0,False
7,1774276558.05,238.03,237.69,-12.7,1.66,-3.06,drive,0.2,-0.3,0,1.0,False
8,1774276560.42,233.45,233.41,4.22,2.24,1.04,drive,0.3,0.1,0,1.0,False
9,1774276566.24,227.61,227.61,-0.49,3.08,-0.12,brake,0,0,10,0.5,False
10,1774276568.44,209.82,209.79,-3.69,2.05,-1.01,drive,0.2,-0.1,0,1.0,False
11,1774276570.76,205.1,204.97,7.41,2.59,2.07,drive,0.2,0.2,0,1.0,False
12,1774276572.93,198.75,198.08,-16.26,3.15,-4.69,brake,0,0,10,0.5,False
13,1774276575.13,192.39,190.98,-23.22,2.06,-6.93,drive,0.2,-0.3,0,1.0,False
14,1774276577.4,187.68,187.58,6.22,2.57,1.9,drive,0.2,0.2,0,1.0,False
15,1774276579.62,181.53,181.3,-9.02,3.13,-2.85,brake,0,0,10,0.5,False
16,1774276582.02,175.05,174.37,-15.37,2.05,-5.04,drive,0.2,-0.5,0,1.0,False
17,1774276584.34,170.0,168.05,25.64,2.51,8.67,drive,0.2,0.5,0,1.0,False
18,1774276586.88,164.0,163.9,-5.63,2.99,-1.97,drive,0.3,-0.2,0,1.0,False
19,1774276588.96,155.99,155.99,-0.38,3.78,-0.14,brake,0,0,20,0.5,False
20,1774276591.18,149.07,148.94,6.11,1.71,2.35,drive,0.2,0.2,0,1.0,False
21,1774276593.63,145.07,144.89,-7.16,2.22,-2.83,drive,0.2,-0.3,0,1.0,False
22,1774276595.78,139.28,138.53,14.4,2.77,5.93,drive,0.2,0.3,0,1.0,False
23,1774276597.95,133.08,132.87,-7.45,3.3,-3.21,brake,0,0,10,0.5,False
24,1774276600.22,126.52,125.63,-14.92,2.21,-6.77,drive,0.2,-0.7,0,1.0,False
25,1774276602.47,121.38,118.25,27.36,2.58,13.03,drive,0.2,0.5,0,1.0,False
26,1774276604.86,115.64,114.91,13.0,3.05,6.45,brake,0,0,10,0.5,False
27,1774276607.26,108.82,108.81,-1.02,1.97,-0.54,drive,0.2,-0.1,0,1.0,False
28,1774276609.56,103.87,103.77,4.5,2.51,2.48,drive,0.2,0.2,0,1.0,False
29,1774276611.86,97.75,97.5,-7.06,3.07,-4.14,brake,0,0,10,0.5,False
30,1774276614.3,91.18,90.6,-10.3,1.99,-6.49,drive,0.2,-0.3,0,1.0,False
31,1774276616.78,86.17,86.12,2.89,2.5,1.92,drive,0.2,0.2,0,1.0,False
32,1774276618.95,79.63,79.55,-3.59,3.06,-2.58,brake,0,0,10,0.5,False
33,1774276622.37,73.44,73.17,-6.26,1.97,-4.89,drive,0.2,-0.5,0,1.0,False
34,1774276625.04,66.55,65.8,9.94,2.45,8.59,drive,0.2,0.5,0,1.0,False
35,1774276627.26,59.81,59.79,-1.52,2.94,-1.46,drive,0.3,-0.2,0,1.0,False
36,1774276629.56,52.87,52.86,0.65,3.73,0.71,brake,0,0,10,0.5,False
37,1774276631.94,44.79,44.72,2.61,2.65,3.35,drive,0.2,0.3,0,1.0,False
38,1774276634.08,38.28,37.92,-5.21,3.14,-7.82,brake,0,0,20,0.5,False
39,1774276636.22,32.71,31.94,-7.03,1.04,-12.41,drive,0.2,-0.5,0,1.0,False
40,1774276638.58,30.33,30.2,-2.72,1.54,-5.15,drive,0.3,-0.2,0,1.0,False
41,1774276641.2,26.25,26.22,1.31,2.37,2.87,drive,0.3,0.2,0,1.0,False
42,1774276643.54,19.43,19.41,-0.71,3.22,-2.1,brake,0,0,20,0.5,False
43,1774276645.92,12.92,12.85,-1.32,1.14,-5.89,drive,0.2,-0.5,0,1.0,False
44,1774276649.01,10.06,10.06,0.26,1.62,1.47,drive,0.2,0.1,0,1.0,False
45,1774276652.98,4.66,4.61,0.62,2.22,7.71,brake,0,0,30,1.0,False
46,1774276656.98,3.05,-3.0,0.59,0.23,168.93,drive,0.2,1.0,0,0.5,False
