step,timestamp,distance_m,forward_m,right_m,speed_mps,bearing_deg,tool,throttle,steer,brake_strength,duration_s,overridden_by_safety
0,1774273975.78,276.51,-124.65,246.82,0.01,116.79,drive,0.2,1,0,0.5,False
1,1774273978.0,276.64,-111.94,252.98,0.57,113.87,drive,0.2,1,0,0.5,False
2,1774273980.05,277.09,-61.74,270.13,1.1,102.87,drive,0.2,1,0,0.5,False
3,1774273982.44,277.16,37.07,274.67,1.58,82.31,drive,0.2,1,0,1.0,False
4,1774273984.64,275.83,149.6,231.74,1.99,57.16,drive,0.3,1,0,1.0,False
5,1774273986.9,272.26,247.33,113.81,2.59,24.71,drive,0.4,0.5,0,1.0,False
6,1774273989.06,265.87,263.0,-38.96,3.54,-8.43,brake,0,0,10,0.1,False
7,1774273991.47,259.02,248.4,-73.39,2.46,-16.46,drive,0.3,-0.5,0,1.0,False
8,1774273993.76,253.02,253.01,-0.12,3.09,-0.03,brake,0,0,15.0,1.0,True
9,1774273996.13,246.79,245.25,27.47,1.46,6.39,drive,0.2,0.2,0,1.0,False
10,1774273998.41,243.13,243.0,7.92,2.01,1.87,drive,0.3,0.2,0,1.0,False
11,1774274000.42,235.69,231.4,-44.74,5.09,-10.94,brake,0,0,20,1.0,False
12,1774274002.42,224.93,215.57,-64.19,5.0,-16.58,brake,0,0,30,1.0,False
13,1774274004.6,215.04,200.88,-76.76,3.86,-20.91,brake,0,0,40,1.0,False
14,1774274006.67,207.31,191.69,-78.96,1.27,-22.39,drive,0.2,-0.5,0,1.0,False
15,1774274008.9,204.86,198.82,-49.37,1.63,-13.95,drive,0.3,-0.3,0,1.0,False
16,1774274011.12,200.81,200.59,-9.45,2.43,-2.7,drive,0.4,-0.1,0,1.0,False
17,1774274013.28,194.9,194.54,11.92,3.46,3.51,brake,0,0,20,0.5,False
18,1774274015.38,188.39,187.77,15.27,1.38,4.65,drive,0.2,0.2,0,1.0,False
19,1774274017.93,185.37,185.34,3.12,1.87,0.97,drive,0.3,0.1,0,1.0,False
20,1774274020.16,180.08,179.8,-10.08,2.69,-3.21,drive,0.2,-0.3,0,1.0,False
21,1774274022.25,173.79,172.17,23.69,3.21,7.83,brake,0,0,20,0.5,False
22,1774274024.27,168.31,164.86,33.87,1.05,11.61,drive,0.2,0.3,0,1.0,False
23,1774274027.52,166.0,164.88,19.28,1.56,6.67,drive,0.3,0.2,0,1.0,False
24,1774274029.72,160.5,160.5,0.62,2.36,0.22,drive,0.4,0.1,0,1.0,False
25,1774274031.79,154.64,153.99,-14.15,3.42,-5.25,brake,0,0,20,0.5,False
26,1774274033.94,148.61,147.69,-16.48,1.35,-6.37,drive,0.2,-0.5,0,1.0,False
27,1774274036.26,145.59,145.42,7.03,1.78,2.77,drive,0.3,0.3,0,1.0,False
28,1774274038.85,141.03,140.97,-3.94,2.57,-1.6,drive,0.4,-0.2,0,1.0,False
29,1774274040.9,133.74,133.52,7.61,3.6,3.26,brake,0,0,10,0.5,False
30,1774274043.43,126.85,126.23,12.49,2.54,5.65,drive,0.3,0.3,0,1.0,False
31,1774274045.65,120.14,119.64,-10.94,3.24,-5.22,brake,0,0,10,0.5,False
32,1774274048.15,113.59,112.2,-17.76,2.14,-8.99,drive,0.2,-0.5,0,1.0,False
33,1774274050.31,108.18,107.84,8.55,2.54,4.53,drive,0.3,0.2,0,1.0,False
34,1774274052.37,102.28,102.15,5.1,3.31,2.86,brake,0,0,10,0.5,False
35,1774274054.44,96.04,96.02,1.7,2.21,1.01,drive,0.2,0.1,0,1.0,False
36,1774274056.59,91.2,91.12,-3.77,2.7,-2.37,drive,0.2,-0.2,0,1.0,False
37,1774274058.53,85.21,84.93,6.86,3.2,4.62,brake,0,0,10,0.5,False
38,1774274061.28,79.54,78.93,9.91,2.08,7.16,drive,0.2,0.3,0,1.0,False
39,1774274063.47,73.72,73.7,-1.84,2.55,-1.43,drive,0.2,-0.1,0,1.0,False
40,1774274065.99,67.86,67.86,-0.6,3.09,-0.51,brake,0,0,10,0.5,False
41,1774274068.17,60.57,60.57,0.4,1.97,0.38,drive,0.3,0.1,0,1.0,False
42,1774274070.47,56.0,55.94,-2.64,2.72,-2.7,drive,0.2,-0.3,0,1.0,False
43,1774274072.52,49.41,48.95,6.71,3.24,7.81,brake,0,0,20,0.5,False
44,1774274074.73,43.87,42.79,9.68,1.12,12.75,drive,0.2,0.3,0,1.0,False
45,1774274076.81,41.33,40.89,5.99,1.59,8.33,drive,0.2,0.2,0,1.0,False
46,1774274078.91,37.71,37.68,1.44,2.15,2.19,drive,0.3,0.1,0,1.0,False
47,1774274081.21,32.7,32.67,-1.5,2.95,-2.64,drive,0.2,-0.1,0,1.0,False
48,1774274083.85,25.62,25.62,0.12,3.5,0.27,brake,0,0,10,0.1,False
49,1774274086.57,16.88,16.87,0.58,2.37,1.96,drive,0.2,0.1,0,1.0,False
50,1774274088.64,10.29,10.29,-0.15,2.86,-0.82,brake,0,0,20,1.0,False
51,1774274091.5,5.37,5.36,-0.29,0.74,-3.05,drive,0.1,-0.3,0,1.0,False
52,1774274094.29,3.27,3.27,-0.06,0.96,-1.07,drive,0.1,-0.1,0,1.0,False
