file,success,initial_distance_m,final_distance_m,distance_reduction_m,progress_ratio,n_steps,episode_duration_s,mean_speed_mps,max_speed_mps,n_drive_actions,n_brake_actions,total_brake_time_s,mean_brake_strength,n_safety_overrides,pct_safety_overrides,mean_abs_bearing_deg,max_abs_bearing_deg,steer_diff_mean,throttle_diff_mean,steer_sign_changes,forward_sign_changes
1.csv,True,198.08,8.76,189.32000000000002,0.9557754442649435,33,74.93999981880188,2.518787878787879,4.3,19,14,11.0,16.785714285714285,3,9.090909090909092,6.22939393939394,25.72,0.240625,0.20625000000000002,8,0
10.csv,False,188.84,3.11,185.73,0.9835310315611099,101,276.3600001335144,0.7073267326732673,5.59,21,80,42.0,89.9375,1,0.9900990099009901,11.301683168316831,157.26,0.074,0.05,8,0
11.csv,True,45.5,3.43,42.07,0.9246153846153846,22,47.019999980926514,1.4645454545454546,3.33,18,4,2.6,22.5,0,0.0,60.30409090909091,172.75,0.2,0.08571428571428572,2,0
12.csv,True,241.41,5.76,235.65,0.9761401764632783,37,99.22000002861023,2.4794594594594597,6.27,25,12,6.5,14.583333333333334,1,2.7027027027027026,17.013513513513512,108.23,0.3194444444444444,0.15277777777777776,15,0
13.csv,True,193.82,5.1,188.72,0.9736869260138273,32,75.32999992370605,2.5453124999999996,7.75,24,8,5.3,23.125,1,3.125,22.573125,121.19,0.3032258064516129,0.15806451612903227,9,0
14.csv,False,279.86,20.78,259.08000000000004,0.9257485885800044,101,295.8600001335144,2.269108910891089,5.98,80,21,11.899999999999999,18.095238095238095,2,1.9801980198019802,56.796831683168314,157.92,0.32899999999999996,0.124,17,15
15.csv,True,270.81,11.62,259.19,0.9570916878992651,36,109.62000012397766,2.4991666666666665,4.34,25,11,3.6,15.909090909090908,1,2.7777777777777777,21.815277777777776,133.32,0.3371428571428572,0.1457142857142857,15,0
16.csv,True,294.94,5.01,289.93,0.983013494270021,40,120.44000005722046,2.461,6.37,27,13,9.4,15.0,1,2.5,15.31225,88.74,0.20769230769230768,0.15256410256410258,14,0
17.csv,True,297.43,3.92,293.51,0.986820428336079,38,115.75,2.5668421052631585,6.86,26,12,5.499999999999999,16.25,1,2.6315789473684212,11.349210526315787,57.55,0.32432432432432434,0.14594594594594595,15,0
18.csv,True,195.51,3.38,192.13,0.9827118817451793,32,76.32000017166138,2.5225,6.37,23,9,5.2,20.555555555555557,1,3.125,12.7846875,70.47,0.23225806451612904,0.1306451612903226,11,0
19.csv,True,116.35,6.28,110.07,0.9460249247958745,20,42.34999990463257,2.5565,5.44,13,7,5.0,19.285714285714285,2,10.0,20.013499999999997,81.24,0.18421052631578946,0.15263157894736842,4,0
2.csv,True,216.55,3.75,212.8,0.9826829831447703,42,97.08000016212463,2.4280952380952376,4.84,29,13,4.7,18.846153846153847,1,2.380952380952381,26.72785714285714,174.21,0.39512195121951216,0.16097560975609757,14,0
20.csv,True,276.51,3.27,273.24,0.9881740262558317,53,118.50999999046326,2.3726415094339623,5.09,37,16,9.7,17.1875,1,1.8867924528301887,14.426415094339625,116.79,0.24423076923076922,0.16346153846153844,20,0
21.csv,True,259.89,5.29,254.6,0.9796452345222979,47,105.64999985694885,2.551489361702128,4.32,33,14,5.899999999999998,13.571428571428571,2,4.25531914893617,24.764042553191477,152.13,0.39347826086956517,0.11739130434782606,16,0
22.csv,True,130.25,7.28,122.97,0.9441074856046066,27,61.10000014305115,2.233333333333333,5.17,20,7,3.1,21.428571428571427,0,0.0,28.302962962962965,134.7,0.2769230769230769,0.11923076923076924,8,0
23.csv,True,280.81,6.06,274.75,0.9784195719525658,46,107.55999994277954,2.562826086956522,5.58,33,13,8.2,15.76923076923077,3,6.521739130434782,10.61608695652174,56.07,0.4133333333333333,0.14111111111111113,20,0
24.csv,True,212.14,8.77,203.36999999999998,0.9586593758838502,35,82.83999991416931,2.6068571428571428,4.26,23,12,2.5000000000000004,16.25,1,2.857142857142857,19.61057142857143,116.53,0.2176470588235294,0.15882352941176472,11,0
25.csv,True,257.92,6.06,251.86,0.9765043424317618,48,108.72000002861023,2.3718749999999997,4.32,34,14,8.8,15.714285714285714,4,8.333333333333334,13.361666666666666,105.01,0.3446808510638298,0.12553191489361704,19,0
26.csv,True,282.13,7.72,274.40999999999997,0.9726367277496188,53,111.09999990463257,2.666037735849057,4.53,33,20,6.1,10.25,1,1.8867924528301887,19.993962264150944,166.48,0.36730769230769234,0.14423076923076922,21,0
27.csv,True,168.89,5.62,163.26999999999998,0.9667239031322162,32,68.5,2.3553125,3.85,21,11,6.0,18.181818181818183,0,0.0,15.555625000000003,95.59,0.1903225806451613,0.20322580645161292,9,0
28.csv,True,189.99,4.1,185.89000000000001,0.9784199168377283,37,84.00999999046326,2.3299999999999996,5.15,25,12,10.0,20.0,3,8.108108108108109,23.787027027027026,142.92,0.1888888888888889,0.14999999999999997,9,0
