step,timestamp,distance_m,forward_m,right_m,speed_mps,bearing_deg,tool,throttle,steer,brake_strength,duration_s,overridden_by_safety
0,1774964447.7,265.19,-115.99,-238.48,0.02,-115.94,drive,0.2,-1.0,0,0.5,False
1,1774964449.56,265.32,-102.28,-244.82,0.6,-112.67,drive,0.2,-1.0,0,0.5,False
2,1774964451.83,265.68,-48.16,-261.28,1.11,-100.44,drive,0.2,-1.0,0,0.5,False
3,1774964454.74,265.71,41.06,-262.52,1.58,-81.11,drive,0.2,-0.8,0,1.0,False
4,1774964457.28,264.0,150.25,-217.07,2.03,-55.31,drive,0.2,-0.6,0,1.0,False
5,1774964459.29,260.08,225.24,-130.04,2.48,-30.0,drive,0.2,-0.3,0,1.0,False
6,1774964461.32,255.21,248.27,-59.13,2.98,-13.4,drive,0.2,-0.2,0,1.0,False
7,1774964463.52,248.94,248.8,-8.3,3.47,-1.91,brake,0,0,10,0.1,False
8,1774964465.31,242.03,242.02,-2.16,2.28,-0.51,brake,0,0,20,0.2,False
9,1774964467.21,239.23,239.22,-2.2,0.05,-0.53,brake,0,0,80,0.5,False
10,1774964468.99,239.22,239.21,-2.23,0.0,-0.53,brake,0,0,80,0.5,False
11,1774964471.03,239.22,239.21,-2.24,0.0,-0.54,brake,0,0,80,0.5,False
12,1774964472.82,239.23,239.22,-2.25,0.0,-0.54,drive,0.0,-0.2,0,1.0,False
13,1774964474.68,239.26,239.25,-2.51,0.03,-0.6,drive,0.0,-0.2,0,1.0,False
14,1774964476.93,239.34,239.32,-3.18,0.06,-0.76,drive,0.0,-0.2,0,1.0,False
15,1774964478.82,239.51,239.47,-4.29,0.09,-1.03,drive,0.0,-0.2,0,1.0,False
16,1774964481.57,239.71,239.64,-5.9,0.12,-1.41,drive,0.0,-0.2,0,1.0,False
17,1774964483.43,240.1,239.97,-8.04,0.16,-1.92,drive,0.0,-0.2,0,1.0,False
18,1774964485.29,240.43,240.2,-10.59,0.19,-2.52,drive,0.0,-0.2,0,1.0,False
19,1774964487.58,240.81,240.43,-13.52,0.22,-3.22,drive,0.0,-0.2,0,1.0,False
20,1774964489.56,241.34,240.75,-16.97,0.25,-4.03,drive,0.0,-0.2,0,1.0,False
21,1774964491.59,241.86,240.98,-20.67,0.28,-4.9,drive,0.0,-0.2,0,1.0,False
22,1774964493.9,242.45,241.18,-24.81,0.3,-5.87,drive,0.0,-0.2,0,1.0,False
23,1774964495.88,243.18,241.38,-29.54,0.34,-6.98,drive,0.0,-0.2,0,1.0,False
24,1774964497.88,243.88,241.4,-34.68,0.36,-8.17,drive,0.0,-0.2,0,1.0,False
25,1774964500.32,244.61,241.32,-40.0,0.39,-9.41,drive,0.0,-0.2,0,1.0,False
26,1774964502.44,245.58,241.26,-45.85,0.42,-10.76,drive,0.0,-0.2,0,1.0,False
27,1774964504.34,246.48,240.92,-52.06,0.44,-12.19,drive,0.0,-0.2,0,1.0,False
28,1774964506.33,247.32,240.33,-58.38,0.46,-13.65,drive,0.0,-0.2,0,1.0,False
29,1774964509.38,248.23,239.58,-64.95,0.48,-15.17,drive,0.0,-0.2,0,1.0,False
30,1774964511.46,249.69,239.02,-72.2,0.51,-16.81,drive,0.0,-0.2,0,1.0,False
31,1774964513.41,250.74,237.7,-79.79,0.53,-18.56,drive,0.0,-0.2,0,1.0,False
32,1774964515.4,251.74,236.1,-87.34,0.55,-20.3,drive,0.0,-0.2,0,1.0,False
33,1774964517.33,252.79,234.07,-95.45,0.57,-22.18,drive,0.0,-0.2,0,1.0,False
34,1774964520.0,253.82,231.81,-103.4,0.58,-24.04,drive,0.0,-0.2,0,1.0,False
35,1774964522.0,255.26,229.56,-111.63,0.6,-25.93,drive,0.0,-0.2,0,1.0,False
36,1774964524.06,256.36,226.59,-119.9,0.61,-27.88,drive,0.0,-0.2,0,1.0,False
37,1774964526.27,257.5,223.3,-128.22,0.63,-29.86,drive,0.0,-0.2,0,1.0,False
38,1774964528.41,258.71,219.71,-136.59,0.64,-31.87,drive,0.0,-0.2,0,1.0,False
39,1774964530.54,259.86,215.93,-144.57,0.64,-33.8,drive,0.0,-0.2,0,1.0,False
40,1774964533.5,261.01,211.45,-153.02,0.65,-35.89,drive,0.0,-0.2,0,1.0,False
41,1774964535.6,262.59,207.19,-161.32,0.66,-37.9,drive,0.0,-0.2,0,1.0,False
42,1774964537.61,263.7,201.87,-169.68,0.66,-40.05,drive,0.0,-0.2,0,1.0,False
43,1774964539.64,264.71,196.66,-177.2,0.66,-42.02,drive,0.0,-0.2,0,1.0,False
44,1774964541.74,265.72,190.83,-184.91,0.66,-44.1,drive,0.0,-0.2,0,1.0,False
45,1774964543.95,266.72,184.88,-192.24,0.66,-46.12,drive,0.0,-0.2,0,1.0,False
46,1774964546.17,267.75,178.56,-199.51,0.66,-48.17,drive,0.0,-0.2,0,1.0,False
47,1774964548.42,268.72,172.34,-206.18,0.66,-50.11,drive,0.0,-0.2,0,1.0,False
48,1774964550.55,269.66,165.77,-212.69,0.65,-52.07,drive,0.0,-0.2,0,1.0,False
49,1774964552.96,270.51,158.96,-218.88,0.64,-54.01,drive,0.0,-0.2,0,1.0,False
50,1774964554.87,271.41,152.05,-224.82,0.63,-55.93,drive,0.0,-0.2,0,1.0,False
51,1774964556.83,272.08,145.05,-230.19,0.62,-57.78,drive,0.0,-0.2,0,1.0,False
52,1774964558.86,272.73,137.81,-235.35,0.61,-59.65,drive,0.0,-0.2,0,1.0,False
53,1774964561.2,273.34,130.62,-240.12,0.59,-61.45,drive,0.0,-0.2,0,1.0,False
